2.036,2.416,2.147,1.31,2.792,2.673,1.673,1.761,2.195,1.487,3.62,1.738,2.889,0.697,0.602,0.358,0.804,0.762,1.526,2.21,1.767,1.146,1.756,0.479,0.744,1.393,0,0.479,0.804,1.479,0.379,3.23,0.892,1.04,3.585,1.167
2.092,2.342,1.921,1.045,2.323,2.228,1.31,1.496,1.813,1.01,3.301,1.269,2.708,0.904,1.033,0.521,0.445,1.214,1.054,2.052,1.686,0.999,1.589,0.0,1.055,1.817,0.479,0,0.594,1.187,0.266,3.073,1.31,1.123,3.432,1.041
2.683,2.93,2.461,1.59,2.466,2.477,1.757,2.023,2.209,1.183,3.745,1.468,3.261,0.658,1.069,1.042,0.266,1.534,1.267,2.62,2.276,1.586,2.16,0.594,1.534,2.179,0.804,0.594,0,0.677,0.445,3.633,1.688,1.703,3.992,1.63
3.251,3.408,2.827,2.008,2.309,2.441,2.027,2.385,2.376,1.249,3.913,1.495,3.631,1.209,1.696,1.687,0.743,2.209,1.353,3.042,2.775,2.091,2.601,1.187,2.199,2.854,1.479,1.187,0.677,0,1.109,4.016,2.364,2.307,4.368,2.144
2.268,2.565,2.178,1.304,2.535,2.466,1.575,1.757,2.074,1.214,3.567,1.486,2.959,0.639,0.822,0.601,0.428,1.138,1.271,2.296,1.907,1.231,1.832,0.266,1.091,1.772,0.379,0.266,0.445,1.109,0,3.319,1.271,1.276,3.678,1.268
1.578,0.915,1.189,2.044,2.845,2.4,2.01,1.632,1.855,2.845,1.33,2.705,0.388,3.908,3.752,2.876,3.397,3.301,2.746,1.024,1.481,2.095,1.487,3.073,2.817,3.315,3.23,3.073,3.633,4.016,3.319,0,3.152,2.283,0.359,2.066
1.672,2.247,2.292,1.668,3.461,3.255,2.134,2.032,2.644,2.237,3.854,2.443,2.88,1.361,0.897,0.83,1.692,0.212,2.247,2.221,1.706,1.373,1.854,1.31,0.4,0.507,0.892,1.31,1.688,2.364,1.271,3.152,0,0.927,3.482,1.353
0.998,1.414,1.366,0.842,2.736,2.463,1.32,1.131,1.792,1.693,2.928,1.817,1.983,1.735,1.485,0.693,1.565,1.038,1.665,1.31,0.805,0.521,0.927,1.123,0.547,1.269,1.04,1.123,1.703,2.307,1.276,2.283,0.927,0,2.628,0.48
1.871,1.235,1.543,2.402,3.105,2.662,2.355,1.986,2.167,3.186,1.392,3.036,0.737,4.266,4.103,3.23,3.755,3.637,3.087,1.382,1.83,2.453,1.846,3.432,3.157,3.621,3.585,3.432,3.992,4.368,3.678,0.359,3.482,2.628,0,2.424
1.13,1.301,0.998,0.367,2.266,1.984,0.842,0.68,1.315,1.314,2.532,1.393,1.722,1.842,1.721,0.821,1.432,1.422,1.267,1.044,0.646,0.06,0.589,1.041,0.953,1.739,1.167,1.041,1.63,2.144,1.268,2.066,1.353,0.48,2.424,0
